id,user_id,title,type,detail,created_at,updated_at
1,1,Cash 4657,cash,Pay on delivery,2025-07-11 13:41:15.078731,2025-07-11 13:41:15.078731
2,1,Cash 2679,cash,Pay on delivery,2025-07-11 13:41:15.078731,2025-07-11 13:41:15.078731
3,2,Cash 1488,cash,Pay on delivery,2025-10-01 23:00:54.952046,2025-10-01 23:00:54.952046
4,2,Cash 4582,cash,Pay on delivery,2025-10-01 23:00:54.952046,2025-10-01 23:00:54.952046
5,3,Creditcard 4257,creditcard,2705063323711913,2025-10-25 19:17:16.748342,2025-10-25 19:17:16.748342
6,4,Creditcard 7924,creditcard,4059128537898116660,2025-07-14 13:13:13.811597,2025-07-14 13:13:13.811597
7,5,Cash 2519,cash,Pay on delivery,2025-06-03 09:12:11.972023,2025-06-03 09:12:11.972023
8,5,Mobilebanking 2584,mobilebanking,+1-768-451-8466x308,2025-06-03 09:12:11.972023,2025-06-03 09:12:11.972023
9,6,Creditcard 3045,creditcard,180089384589979,2025-07-18 08:17:53.794940,2025-07-18 08:17:53.794940
10,6,Mobilebanking 2291,mobilebanking,477-747-8795x222,2025-07-18 08:17:53.794940,2025-07-18 08:17:53.794940
11,7,Creditcard 2139,creditcard,3569885793241739,2025-07-01 23:38:15.589397,2025-07-01 23:38:15.589397
12,8,Mobilebanking 2307,mobilebanking,(392)891-9745x231,2025-09-11 14:11:51.925766,2025-09-11 14:11:51.925766
13,9,Mobilebanking 6977,mobilebanking,001-251-582-6825,2025-07-03 01:12:42.398836,2025-07-03 01:12:42.398836
14,9,Cash 7065,cash,Pay on delivery,2025-07-03 01:12:42.398836,2025-07-03 01:12:42.398836
15,10,Creditcard 3803,creditcard,6011233191004861,2025-10-24 17:13:25.917354,2025-10-24 17:13:25.917354
16,11,Mobilebanking 4598,mobilebanking,924-406-9322x702,2025-10-22 21:39:11.810262,2025-10-22 21:39:11.810262
17,11,Creditcard 6313,creditcard,676162273574,2025-10-22 21:39:11.810262,2025-10-22 21:39:11.810262
18,12,Mobilebanking 7572,mobilebanking,+1-563-668-1949,2025-11-13 20:31:06.513297,2025-11-13 20:31:06.513297
19,13,Cash 9179,cash,Pay on delivery,2025-07-18 16:08:45.775197,2025-07-18 16:08:45.775197
20,13,Mobilebanking 8517,mobilebanking,(777)720-3192x4939,2025-07-18 16:08:45.775197,2025-07-18 16:08:45.775197
21,14,Creditcard 9830,creditcard,4512491643151289,2025-09-08 03:51:54.527578,2025-09-08 03:51:54.527578
22,15,Mobilebanking 4593,mobilebanking,688.380.1683x5216,2025-10-16 13:51:12.027569,2025-10-16 13:51:12.027569
23,15,Cash 9348,cash,Pay on delivery,2025-10-16 13:51:12.027569,2025-10-16 13:51:12.027569
24,16,Creditcard 7916,creditcard,3562144321490153,2025-07-14 12:23:25.504726,2025-07-14 12:23:25.504726
25,17,Creditcard 8668,creditcard,2720252073222962,2025-05-29 22:56:05.394676,2025-05-29 22:56:05.394676
26,17,Creditcard 5119,creditcard,588410893881,2025-05-29 22:56:05.394676,2025-05-29 22:56:05.394676
27,18,Creditcard 9797,creditcard,4688483078421376,2025-07-28 16:24:44.150057,2025-07-28 16:24:44.150057
28,19,Cash 8433,cash,Pay on delivery,2025-11-12 19:59:15.255921,2025-11-12 19:59:15.255921
29,19,Cash 5315,cash,Pay on delivery,2025-11-12 19:59:15.255921,2025-11-12 19:59:15.255921
30,20,Creditcard 9317,creditcard,30286174637719,2025-10-09 03:09:07.575788,2025-10-09 03:09:07.575788
31,20,Creditcard 4258,creditcard,675915915150,2025-10-09 03:09:07.575788,2025-10-09 03:09:07.575788
32,21,Creditcard 6310,creditcard,3533153959710358,2025-11-11 19:10:42.107217,2025-11-11 19:10:42.107217
33,22,Cash 4946,cash,Pay on delivery,2025-09-17 20:55:55.886100,2025-09-17 20:55:55.886100
34,23,Cash 9727,cash,Pay on delivery,2025-05-31 22:17:36.101599,2025-05-31 22:17:36.101599
35,23,Cash 3103,cash,Pay on delivery,2025-05-31 22:17:36.101599,2025-05-31 22:17:36.101599
36,24,Cash 9835,cash,Pay on delivery,2025-07-16 03:48:54.881333,2025-07-16 03:48:54.881333
37,24,Creditcard 4295,creditcard,5376636593468859,2025-07-16 03:48:54.881333,2025-07-16 03:48:54.881333
38,25,Cash 5061,cash,Pay on delivery,2025-09-26 10:15:16.225145,2025-09-26 10:15:16.225145
39,25,Cash 2049,cash,Pay on delivery,2025-09-26 10:15:16.225145,2025-09-26 10:15:16.225145
40,26,Cash 2163,cash,Pay on delivery,2025-08-27 08:32:33.310194,2025-08-27 08:32:33.310194
41,27,Cash 6413,cash,Pay on delivery,2025-05-19 15:52:04.747838,2025-05-19 15:52:04.747838
42,28,Mobilebanking 8953,mobilebanking,347.230.2444,2025-09-25 15:11:56.996567,2025-09-25 15:11:56.996567
43,29,Cash 8749,cash,Pay on delivery,2025-08-13 11:38:28.658437,2025-08-13 11:38:28.658437
44,29,Mobilebanking 4119,mobilebanking,(363)546-4749x23532,2025-08-13 11:38:28.658437,2025-08-13 11:38:28.658437
45,30,Mobilebanking 7939,mobilebanking,566.712.3822x1175,2025-09-02 22:29:14.396574,2025-09-02 22:29:14.396574
46,30,Mobilebanking 8651,mobilebanking,3158678638,2025-09-02 22:29:14.396574,2025-09-02 22:29:14.396574
47,31,Cash 7596,cash,Pay on delivery,2025-11-04 12:24:51.163143,2025-11-04 12:24:51.163143
48,32,Creditcard 8350,creditcard,4798061558139309,2025-09-06 14:41:23.130444,2025-09-06 14:41:23.130444
49,33,Mobilebanking 5092,mobilebanking,396-294-1955,2025-10-17 04:09:21.111044,2025-10-17 04:09:21.111044
50,33,Cash 8260,cash,Pay on delivery,2025-10-17 04:09:21.111044,2025-10-17 04:09:21.111044
51,34,Cash 4872,cash,Pay on delivery,2025-09-20 17:31:52.351807,2025-09-20 17:31:52.351807
52,35,Cash 7570,cash,Pay on delivery,2025-07-01 06:44:36.373120,2025-07-01 06:44:36.373120
53,35,Cash 3697,cash,Pay on delivery,2025-07-01 06:44:36.373120,2025-07-01 06:44:36.373120
54,36,Mobilebanking 8973,mobilebanking,+1-527-817-0686x3949,2025-07-04 22:45:21.838141,2025-07-04 22:45:21.838141
55,36,Cash 4111,cash,Pay on delivery,2025-07-04 22:45:21.838141,2025-07-04 22:45:21.838141
56,37,Creditcard 6138,creditcard,4889509320497,2025-06-30 05:56:06.817201,2025-06-30 05:56:06.817201
57,38,Creditcard 9701,creditcard,2410522898294908,2025-10-25 04:18:04.706869,2025-10-25 04:18:04.706869
58,38,Cash 1931,cash,Pay on delivery,2025-10-25 04:18:04.706869,2025-10-25 04:18:04.706869
59,39,Creditcard 2113,creditcard,38859784168200,2025-07-26 10:10:26.656392,2025-07-26 10:10:26.656392
60,40,Creditcard 1651,creditcard,6502869345231227,2025-11-13 03:50:23.519975,2025-11-13 03:50:23.519975
61,41,Mobilebanking 4346,mobilebanking,+1-203-694-6233x512,2025-10-22 07:57:32.143076,2025-10-22 07:57:32.143076
62,41,Creditcard 6147,creditcard,4344028313968321,2025-10-22 07:57:32.143076,2025-10-22 07:57:32.143076
63,42,Creditcard 5915,creditcard,4725677513029133,2025-05-30 15:49:39.565527,2025-05-30 15:49:39.565527
64,43,Cash 9808,cash,Pay on delivery,2025-06-28 10:35:33.011998,2025-06-28 10:35:33.011998
65,44,Mobilebanking 2127,mobilebanking,943-543-1450,2025-06-18 01:30:49.501746,2025-06-18 01:30:49.501746
66,45,Mobilebanking 9900,mobilebanking,(484)842-9256x172,2025-09-08 05:04:52.032089,2025-09-08 05:04:52.032089
67,46,Creditcard 2697,creditcard,3509686511334373,2025-08-15 02:05:02.907619,2025-08-15 02:05:02.907619
68,46,Cash 5333,cash,Pay on delivery,2025-08-15 02:05:02.907619,2025-08-15 02:05:02.907619
69,47,Mobilebanking 5616,mobilebanking,+1-900-879-8056x61937,2025-06-22 23:05:40.660786,2025-06-22 23:05:40.660786
70,48,Creditcard 9004,creditcard,4653192418450109,2025-11-04 16:26:04.394926,2025-11-04 16:26:04.394926
71,48,Mobilebanking 1832,mobilebanking,(269)403-6365,2025-11-04 16:26:04.394926,2025-11-04 16:26:04.394926
72,49,Mobilebanking 1722,mobilebanking,200.497.7015x80326,2025-11-09 05:05:46.268827,2025-11-09 05:05:46.268827
73,49,Cash 6464,cash,Pay on delivery,2025-11-09 05:05:46.268827,2025-11-09 05:05:46.268827
74,50,Creditcard 8007,creditcard,676106630566,2025-11-14 19:05:09.507396,2025-11-14 19:05:09.507396
75,50,Creditcard 1158,creditcard,3558711774091203,2025-11-14 19:05:09.507396,2025-11-14 19:05:09.507396
76,51,Creditcard 1590,creditcard,4298660525508,2025-07-14 12:42:47.442912,2025-07-14 12:42:47.442912
77,52,Cash 1685,cash,Pay on delivery,2025-10-03 22:51:34.693119,2025-10-03 22:51:34.693119
78,52,Mobilebanking 6974,mobilebanking,+1-975-918-8503x88220,2025-10-03 22:51:34.693119,2025-10-03 22:51:34.693119
79,53,Creditcard 5088,creditcard,30457307131850,2025-08-17 09:16:18.698669,2025-08-17 09:16:18.698669
80,54,Creditcard 3532,creditcard,4418935500504,2025-06-07 21:07:43.062019,2025-06-07 21:07:43.062019
81,54,Cash 3662,cash,Pay on delivery,2025-06-07 21:07:43.062019,2025-06-07 21:07:43.062019
82,55,Creditcard 6442,creditcard,349049915749821,2025-06-07 03:47:21.291696,2025-06-07 03:47:21.291696
83,56,Mobilebanking 1634,mobilebanking,(274)543-5569x962,2025-09-13 15:23:26.969065,2025-09-13 15:23:26.969065
84,57,Cash 4652,cash,Pay on delivery,2025-05-25 17:36:29.545508,2025-05-25 17:36:29.545508
85,57,Cash 4164,cash,Pay on delivery,2025-05-25 17:36:29.545508,2025-05-25 17:36:29.545508
86,58,Creditcard 9346,creditcard,4710092812166828019,2025-10-08 01:17:22.401781,2025-10-08 01:17:22.401781
87,58,Mobilebanking 9785,mobilebanking,703.218.2955x64504,2025-10-08 01:17:22.401781,2025-10-08 01:17:22.401781
88,59,Creditcard 5349,creditcard,4908918207926185200,2025-11-04 07:24:50.993365,2025-11-04 07:24:50.993365
89,60,Mobilebanking 6139,mobilebanking,001-503-544-1819x02692,2025-10-21 11:28:24.153572,2025-10-21 11:28:24.153572
90,60,Mobilebanking 9379,mobilebanking,+1-906-648-3660x485,2025-10-21 11:28:24.153572,2025-10-21 11:28:24.153572
91,61,Mobilebanking 1727,mobilebanking,+1-617-813-1456x240,2025-09-24 17:23:18.980616,2025-09-24 17:23:18.980616
92,62,Cash 6409,cash,Pay on delivery,2025-09-25 07:34:55.893904,2025-09-25 07:34:55.893904
93,62,Creditcard 6143,creditcard,4140859607491,2025-09-25 07:34:55.893904,2025-09-25 07:34:55.893904
94,63,Creditcard 6067,creditcard,378773612406963,2025-07-17 13:57:01.707199,2025-07-17 13:57:01.707199
95,63,Creditcard 7691,creditcard,4415259019309783,2025-07-17 13:57:01.707199,2025-07-17 13:57:01.707199
96,64,Cash 7888,cash,Pay on delivery,2025-06-08 16:47:10.575449,2025-06-08 16:47:10.575449
97,65,Mobilebanking 5700,mobilebanking,+1-273-489-3032,2025-08-19 20:50:21.995597,2025-08-19 20:50:21.995597
98,66,Mobilebanking 8238,mobilebanking,+1-914-826-4281x1079,2025-07-20 19:13:42.866660,2025-07-20 19:13:42.866660
99,66,Mobilebanking 4501,mobilebanking,459-792-2936,2025-07-20 19:13:42.866660,2025-07-20 19:13:42.866660
100,67,Cash 4848,cash,Pay on delivery,2025-09-25 03:25:05.422027,2025-09-25 03:25:05.422027
101,67,Creditcard 6085,creditcard,36186174739479,2025-09-25 03:25:05.422027,2025-09-25 03:25:05.422027
