id,customer_id,driver_id,restaurant_id,location,status,remark,total_amount,driver_fee,created_at,updated_at
1,1,119,128,"84866 Daniel Tunnel
Christieton, PW 94603",success,Tv boy later place finish best ahead.,127.91,11.63,2025-11-10 15:33:43.909186,2025-11-10 15:33:43.909187
2,1,111,121,"58249 Natalie Summit
North Derrick, MH 18226",delivered,Claim line drop just money themselves.,35.54,3.23,2025-11-10 15:33:43.909317,2025-11-10 15:33:43.909317
3,1,102,135,"09854 Moreno Cliff Suite 585
North Stephen, CA 12893",preparing,,163.05,14.82,2025-11-10 15:33:43.909452,2025-11-10 15:33:43.909453
4,1,117,124,"931 Collins Ranch
Jeffreyberg, GA 12859",success,,144.21999999999997,13.11,2025-11-10 15:33:43.909577,2025-11-10 15:33:43.909578
5,1,,132,"Unit 5046 Box 0827
DPO AA 93607",success,,67.63,6.15,2025-11-10 15:33:43.909606,2025-11-10 15:33:43.909606
6,2,115,129,"096 Patricia Spring Apt. 670
Davidton, IA 53551",success,,74.89,6.81,2025-11-10 15:33:43.909939,2025-11-10 15:33:43.909939
7,2,109,124,"22987 Rachel Locks
Williamsview, VI 94683",preparing,True take across budget.,79.26,7.21,2025-11-10 15:33:43.910089,2025-11-10 15:33:43.910090
8,2,106,128,"97400 White Lock
Jamesshire, GA 40845",pending,Gas go camera finally require only at.,59.419999999999995,5.4,2025-11-10 15:33:43.910232,2025-11-10 15:33:43.910232
9,2,,121,"987 Reyes Extensions Suite 215
Hortonton, TN 84553",delivered,,22.03,2.0,2025-11-10 15:33:43.910378,2025-11-10 15:33:43.910378
10,2,111,127,"231 Christopher Key Apt. 387
South Yolandafurt, CT 13091",pending,,26.660000000000004,2.42,2025-11-10 15:33:43.910489,2025-11-10 15:33:43.910489
11,3,107,122,"USNS Pace
FPO AA 02948",success,,81.73000000000002,7.43,2025-11-10 15:33:43.910710,2025-11-10 15:33:43.910711
12,3,,127,"2167 Obrien Hill
Davidshire, PR 57629",preparing,,47.78,4.34,2025-11-10 15:33:43.910832,2025-11-10 15:33:43.910833
13,3,101,129,"10915 Lindsay Mission Apt. 855
Ronaldside, MT 35839",success,,19.540000000000003,1.78,2025-11-10 15:33:43.910940,2025-11-10 15:33:43.910940
14,3,115,122,"16842 Moody Pines Suite 609
East Karimouth, RI 92465",success,,63.65,5.79,2025-11-10 15:33:43.911067,2025-11-10 15:33:43.911068
15,3,120,134,"30887 Tina Ferry Suite 199
South Kayla, PA 24080",rejected,Room bar south put senior parent.,64.11,5.83,2025-11-10 15:33:43.911204,2025-11-10 15:33:43.911205
16,4,109,129,"623 Melissa Track
South Janice, UT 03021",pending,,55.42,5.04,2025-11-10 15:33:43.911540,2025-11-10 15:33:43.911540
17,4,103,121,"538 Erin Wall
Jameston, NE 35397",delivered,Reflect check use take book.,33.690000000000005,3.06,2025-11-10 15:33:43.911659,2025-11-10 15:33:43.911660
18,4,,126,"5168 Justin Place Suite 585
Port Laura, NY 84951",delivered,,144.10999999999999,13.1,2025-11-10 15:33:43.911767,2025-11-10 15:33:43.911767
19,4,103,130,"37067 Schmidt Knoll Suite 832
Kellyville, MA 08040",success,,108.46,9.86,2025-11-10 15:33:43.911897,2025-11-10 15:33:43.911898
20,4,117,125,"35817 Crystal Streets
Christopherfurt, GA 76704",rejected,,117.55,10.69,2025-11-10 15:33:43.912002,2025-11-10 15:33:43.912002
21,5,114,123,"103 Hill Spurs
East Mariah, PR 21765",preparing,,114.47,10.41,2025-11-10 15:33:43.912369,2025-11-10 15:33:43.912369
22,5,105,131,"USS Hicks
FPO AE 57350",pending,,39.379999999999995,3.58,2025-11-10 15:33:43.912440,2025-11-10 15:33:43.912441
23,5,113,134,"349 Deborah Turnpike
West Susanchester, AZ 99252",pending,,94.72,8.61,2025-11-10 15:33:43.912545,2025-11-10 15:33:43.912545
24,5,104,130,"12006 Willie Parkways
West Feliciamouth, MS 35253",success,,41.1,3.74,2025-11-10 15:33:43.912652,2025-11-10 15:33:43.912652
25,5,110,127,"42859 Reyes Roads
North Robert, TN 46721",success,,15.93,1.45,2025-11-10 15:33:43.912770,2025-11-10 15:33:43.912771
26,6,,134,"102 Jennifer Road
Meganland, VA 28224",delivered,,16.28,1.48,2025-11-10 15:33:43.913155,2025-11-10 15:33:43.913156
27,6,101,123,"116 Rogers Drive
Tinaland, AL 58878",rejected,Myself including prove adult.,99.97,9.09,2025-11-10 15:33:43.913294,2025-11-10 15:33:43.913294
