id,user_id,title,type,detail,created_at,updated_at
1,1,Card 1,creditcard,567498067097,2025-02-08 20:35:59.903064,2025-02-08 20:35:59.903064
2,1,Card 2,creditcard,3500995131379869,2025-02-08 20:35:59.903064,2025-02-08 20:35:59.903064
3,2,Card 1,cash,(871)230-7639,2025-05-07 18:32:31.118890,2025-05-07 18:32:31.118890
4,3,Card 1,mobilebanking,+1-201-326-4863,2025-04-02 00:40:38.374758,2025-04-02 00:40:38.374758
5,4,Card 1,cash,374-621-6824,2025-04-07 14:30:32.016523,2025-04-07 14:30:32.016523
6,5,Card 1,cash,001-255-705-4060x409,2025-08-03 19:52:11.778803,2025-08-03 19:52:11.778803
7,6,Card 1,mobilebanking,698-865-8594,2025-02-03 11:35:35.600343,2025-02-03 11:35:35.600343
8,6,Card 2,cash,+1-705-559-4567,2025-02-03 11:35:35.600343,2025-02-03 11:35:35.600343
9,7,Card 1,creditcard,501897660889,2025-03-02 06:16:07.815372,2025-03-02 06:16:07.815372
10,7,Card 2,mobilebanking,359.874.4199x823,2025-03-02 06:16:07.815372,2025-03-02 06:16:07.815372
11,8,Card 1,mobilebanking,001-671-287-6515x8697,2025-01-27 00:30:06.848017,2025-01-27 00:30:06.848017
12,9,Card 1,mobilebanking,001-619-272-0452,2025-02-09 07:08:26.413223,2025-02-09 07:08:26.413223
13,10,Card 1,creditcard,30074640081559,2025-08-25 03:22:29.961455,2025-08-25 03:22:29.961455
14,10,Card 2,mobilebanking,259.650.6066x26618,2025-08-25 03:22:29.961455,2025-08-25 03:22:29.961455
15,11,Card 1,mobilebanking,818-891-3710x8053,2025-04-22 07:54:21.444595,2025-04-22 07:54:21.444595
16,11,Card 2,cash,871-519-2048x085,2025-04-22 07:54:21.444595,2025-04-22 07:54:21.444595
17,12,Card 1,cash,997-625-9264x16499,2025-09-25 10:20:17.578944,2025-09-25 10:20:17.578944
18,12,Card 2,mobilebanking,001-396-525-1662x08275,2025-09-25 10:20:17.578944,2025-09-25 10:20:17.578944
19,13,Card 1,creditcard,2295718024204452,2025-09-11 20:12:04.107018,2025-09-11 20:12:04.107018
20,13,Card 2,mobilebanking,+1-796-654-8632x01652,2025-09-11 20:12:04.107018,2025-09-11 20:12:04.107018
21,14,Card 1,mobilebanking,830.647.4536x09407,2025-07-21 15:03:27.636213,2025-07-21 15:03:27.636213
22,15,Card 1,cash,001-437-883-6116x6856,2025-02-17 15:34:40.705359,2025-02-17 15:34:40.705359
23,15,Card 2,mobilebanking,995.553.0710x28727,2025-02-17 15:34:40.705359,2025-02-17 15:34:40.705359
24,16,Card 1,mobilebanking,533.939.7433,2025-08-29 06:36:22.997241,2025-08-29 06:36:22.997241
25,17,Card 1,cash,8157221508,2025-01-10 06:11:05.258532,2025-01-10 06:11:05.258532
26,17,Card 2,creditcard,4361746766871183,2025-01-10 06:11:05.258532,2025-01-10 06:11:05.258532
27,18,Card 1,mobilebanking,+1-743-386-8764x20303,2025-05-15 23:21:32.710271,2025-05-15 23:21:32.710271
28,18,Card 2,cash,896-547-7460x98222,2025-05-15 23:21:32.710271,2025-05-15 23:21:32.710271
29,19,Card 1,cash,(877)486-8438,2025-02-28 04:01:26.246399,2025-02-28 04:01:26.246399
30,20,Card 1,creditcard,4613922063456624,2025-07-18 21:00:40.603748,2025-07-18 21:00:40.603748
31,21,Card 1,cash,(268)791-3393x0307,2025-08-16 04:22:26.910452,2025-08-16 04:22:26.910452
32,22,Card 1,cash,(268)993-0472,2025-01-18 00:50:08.281771,2025-01-18 00:50:08.281771
33,22,Card 2,creditcard,30593697621306,2025-01-18 00:50:08.281771,2025-01-18 00:50:08.281771
34,23,Card 1,mobilebanking,750-995-7653,2025-07-15 15:06:37.298393,2025-07-15 15:06:37.298393
35,23,Card 2,creditcard,6594347980751998,2025-07-15 15:06:37.298393,2025-07-15 15:06:37.298393
36,24,Card 1,cash,001-704-807-2190x8832,2025-05-11 06:01:02.984059,2025-05-11 06:01:02.984059
37,25,Card 1,cash,371.744.5105x818,2025-02-20 00:34:01.209279,2025-02-20 00:34:01.209279
38,25,Card 2,cash,+1-270-611-0087x58752,2025-02-20 00:34:01.209279,2025-02-20 00:34:01.209279
39,26,Card 1,mobilebanking,857-343-1677,2025-06-08 02:15:13.673746,2025-06-08 02:15:13.673746
40,26,Card 2,mobilebanking,+1-709-461-9464x02489,2025-06-08 02:15:13.673746,2025-06-08 02:15:13.673746
41,27,Card 1,mobilebanking,001-868-634-1111x5701,2025-08-15 06:59:59.937456,2025-08-15 06:59:59.937456
42,28,Card 1,cash,835.788.2881,2025-10-16 20:16:58.281096,2025-10-16 20:16:58.281096
43,29,Card 1,cash,001-669-911-2953x267,2025-08-22 01:53:40.737700,2025-08-22 01:53:40.737700
44,29,Card 2,mobilebanking,+1-765-246-4117,2025-08-22 01:53:40.737700,2025-08-22 01:53:40.737700
45,30,Card 1,mobilebanking,757.206.9635,2025-02-23 22:05:17.999658,2025-02-23 22:05:17.999658
46,30,Card 2,mobilebanking,(498)861-9915,2025-02-23 22:05:17.999658,2025-02-23 22:05:17.999658
47,31,Card 1,mobilebanking,001-737-418-1417x48762,2025-03-22 07:51:30.095389,2025-03-22 07:51:30.095389
48,31,Card 2,cash,+1-222-960-6777x8682,2025-03-22 07:51:30.095389,2025-03-22 07:51:30.095389
49,32,Card 1,cash,+1-213-998-8000x158,2025-05-08 14:03:45.014258,2025-05-08 14:03:45.014258
50,32,Card 2,cash,374.332.2713x33650,2025-05-08 14:03:45.014258,2025-05-08 14:03:45.014258
51,33,Card 1,mobilebanking,+1-855-394-0911x09376,2025-05-27 22:44:01.464226,2025-05-27 22:44:01.464226
52,33,Card 2,cash,6223987293,2025-05-27 22:44:01.464226,2025-05-27 22:44:01.464226
53,34,Card 1,cash,+1-241-299-9793x6668,2025-09-20 20:24:20.443795,2025-09-20 20:24:20.443795
54,35,Card 1,cash,+1-672-399-0348x519,2025-04-19 23:40:58.678896,2025-04-19 23:40:58.678896
55,36,Card 1,cash,790-424-4380x130,2025-04-29 04:42:10.099368,2025-04-29 04:42:10.099368
56,37,Card 1,creditcard,6587589193762713,2025-05-05 20:20:58.032598,2025-05-05 20:20:58.032598
57,38,Card 1,cash,776.676.7371,2025-08-05 21:09:36.929493,2025-08-05 21:09:36.929493
58,39,Card 1,cash,874.503.2700,2025-07-14 17:36:57.777542,2025-07-14 17:36:57.777542
