id,email,password,accepted_term_of_service,accepted_pdpa,accepted_cookie_tracking,created_at,updated_at,role
1,timothy92@example.com,Y8Mzxrf%)5,True,True,True,2025-02-08 20:35:59.903064,2025-02-08 20:35:59.903064,customer
2,leslie76@example.org,%v#5Mby!63,True,True,False,2025-05-07 18:32:31.118890,2025-05-07 18:32:31.118890,customer
3,kathleen05@example.org,2dGGhseN)q,True,True,False,2025-04-02 00:40:38.374758,2025-04-02 00:40:38.374758,customer
4,prattrachel@example.org,TD^2Q(vg&H,True,True,False,2025-04-07 14:30:32.016523,2025-04-07 14:30:32.016523,customer
5,vgill@example.org,*Pz7XJPoeV,True,True,False,2025-08-03 19:52:11.778803,2025-08-03 19:52:11.778803,customer
6,luis56@example.net,z*4+zMZvIE,True,True,True,2025-02-03 11:35:35.600343,2025-02-03 11:35:35.600343,customer
7,camposjesse@example.net,AFR30UYqD@,True,True,False,2025-03-02 06:16:07.815372,2025-03-02 06:16:07.815372,customer
8,nicholas80@example.org,@8t*A+v0XW,True,True,True,2025-01-27 00:30:06.848017,2025-01-27 00:30:06.848017,customer
9,jacobsonstephanie@example.org,_h*44Kq4OE,True,True,False,2025-02-09 07:08:26.413223,2025-02-09 07:08:26.413223,customer
10,aprilcooper@example.org,n*b)^5PuSK,True,True,False,2025-08-25 03:22:29.961455,2025-08-25 03:22:29.961455,customer
11,popemichele@example.net,D&T(GARw@8,True,True,False,2025-04-22 07:54:21.444595,2025-04-22 07:54:21.444595,customer
12,jasonschwartz@example.org,_eLKAN0+O4,True,True,False,2025-09-25 10:20:17.578944,2025-09-25 10:20:17.578944,customer
13,nharris@example.com,*f4OGX)_%#,True,True,False,2025-09-11 20:12:04.107018,2025-09-11 20:12:04.107018,customer
14,glee@example.com,)oExZmJ)6y,True,True,False,2025-07-21 15:03:27.636213,2025-07-21 15:03:27.636213,customer
15,william14@example.com,7Sh+X5Sc9Z,True,True,True,2025-02-17 15:34:40.705359,2025-02-17 15:34:40.705359,customer
16,pottschristine@example.org,*0CPk_eA1i,True,True,True,2025-08-29 06:36:22.997241,2025-08-29 06:36:22.997241,customer
17,msims@example.net,+585EqbKK%,True,True,True,2025-01-10 06:11:05.258532,2025-01-10 06:11:05.258532,customer
18,juliechristensen@example.org,nW#!%NfT(3,True,True,False,2025-05-15 23:21:32.710271,2025-05-15 23:21:32.710271,customer
19,ericmckenzie@example.org,*@9V%0LfZL,True,True,True,2025-02-28 04:01:26.246399,2025-02-28 04:01:26.246399,customer
20,howeaaron@example.org,S8HHurb(#T,True,True,False,2025-07-18 21:00:40.603748,2025-07-18 21:00:40.603748,customer
21,charles27@example.net,ZL&TY_pO$7,True,True,False,2025-08-16 04:22:26.910452,2025-08-16 04:22:26.910452,customer
22,todd74@example.com,_81SYgfK+(,True,True,False,2025-01-18 00:50:08.281771,2025-01-18 00:50:08.281771,customer
